Author,Year,Title,Alloy(at. fraction),Preparation,anneal_temperature,anneal_time,Al,Nb,Ti,V,Zr,Cr,Mo,Hf,Ta,W,x(Al),x(Nb),x(Ti),x(V),x(Zr),x(Cr),x(Mo),x(Hf),x(Ta),x(W),Phase,Phase_content,Density_error,test_temperature,strain_rate,C(0)/T(1),Density,YS,YS_error,UTS,UTS_error,EL,EL_error,SYS,HV,HV_error
Chao Xu,2024,Enhancing mechanical performance of Ti2ZrNbHfVAlx?refractory high-entropy alloys through laves phase,Ti2ZrNbHfVAl0.6,AM,0,0,0.6,1,2,1,1,0,0,1,0,0,9.09,15.15,30.3,15.15,15.15,0,0,15.15,0,0,2,bcc_A2+Laves,0,25,0.001,0,7.12,1378.6,0,0,0,50,0,193.7038199,410,0
Chao Xu,2024,Enhancing mechanical performance of Ti2ZrNbHfVAlx?refractory high-entropy alloys through laves phase,Ti2ZrNbHfVAl0.8,AM,0,0,0.8,1,2,1,1,0,0,1,0,0,11.76,14.71,29.41,14.71,14.71,0,0,14.71,0,0,2,bcc_A2+Laves,0,25,0.001,0,7,1516.1,0,0,0,44.1,0,216.5660765,430,0
Chao Xu,2024,Enhancing mechanical performance of Ti2ZrNbHfVAlx?refractory high-entropy alloys through laves phase,Ti2ZrNbHfVAl,AM,0,0,1,1,2,1,1,0,0,1,0,0,14.29,14.29,28.57,14.29,14.29,0,0,14.29,0,0,2,bcc_A2+Laves,0,25,0.001,0,6.89,1634.1,0,0,0,28.5,0,237.1630197,450,0
Chao Xu,2024,Enhancing mechanical performance of Ti2ZrNbHfVAlx?refractory high-entropy alloys through laves phase,Ti2ZrNbHfVAl1.2,AM,0,0,1.2,1,2,1,1,0,0,1,0,0,16.67,13.89,27.78,13.89,13.89,0,0,13.89,0,0,2,bcc_A2+Laves,0,25,0.001,0,6.79,1789.9,0,0,0,10.6,0,263.7912391,533,0
Rui-Xin Wang,2024,Excellent ductilization and strengthening of lightweight refractory high-entropy alloys via stable B2 nanoprecipitates,TiVNbAl0.2,AM,0,0,0.2,1,1,1,0,0,0,0,0,0,6.25,31.25,31.25,31.25,0,0,0,0,0,0,3,bcc_A2+bcc_B2,0,25,0.001,1,6.2,810,0,820,0,22,0,130.6647443,0,0
Rui-Xin Wang,2025,Excellent ductilization and strengthening of lightweight refractory high-entropy alloys via stable B3 nanoprecipitates,TiVNbAl0.4,AM,0,0,0.4,1,1,1,0,0,0,0,0,0,11.76,29.41,29.41,29.41,0,0,0,0,0,0,3,bcc_A2+bcc_B2,0,25,0.001,1,5.99,913,7,920,0,32.4,0.4,152.36646,0,0
Fazakas,2014,Experimental and theoretical study of Ti20Zr20Hf20Nb20X20?(X?=?V or Cr) refractory high-entropy alloys,Ti20Zr20Hf20Nb20Cr20,AM,0,0,0,20,20,0,20,20,0,20,0,0,0,20,20,0,20,20,0,20,0,0,2,bcc_A2+Laves(Cr2Nb)+Laves(Cr2Hf),0,25,0.0005,0,8.24,1375,0,0,0,2.8,0,166.8288752,464.28,0
Fazakas,2014,Experimental and theoretical study of Ti20Zr20Hf20Nb20X20?(X?=?V or Cr) refractory high-entropy alloys,Ti20Zr20Hf20Nb20V20,AM,0,0,0,20,20,20,20,0,0,20,0,0,0,20,20,20,20,0,0,20,0,0,2,bcc_A2+IM,0,25,0.0005,0,8.06,1170,0,0,0,29.6,0,145.0842202,387.75,0
Lin Yang,2024,Lightweight CrxV0.5Nb0.5ZrTi Refractory High-Entropy Alloys: Microstructure and Mechanical Properties,Cr0.3V0.5Nb0.5ZrTi,AM,0,0,0,0.5,1,0.5,1,0.3,0,0,0,0,0,15.15,30.3,15.15,30.3,9.09,0,0,0,0,2,bcc_A2+Laves,0,25,0.001,0,6.23,1330,30,0,0,7,0,213.5699665,0,0
Lin Yang,2024,Lightweight CrxV0.5Nb0.5ZrTi Refractory High-Entropy Alloys: Microstructure and Mechanical Properties,Cr0.1V0.5Nb0.5ZrTi,AM,0,0,0,0.5,1,0.5,1,0.1,0,0,0,0,0,16.13,32.26,16.13,32.26,3.23,0,0,0,0,2,bcc_A2+Laves,0,25,0.001,0,6.19,1100,20,0,0,50,0,177.7741897,0,0
